site_id,site_name,area,fuel_type,fuel_use_kg_day,operating_hours_day,equipment_condition_pct,maintenance_gap_days,stack_condition_pct,weather_dispersion_pct,wind_speed_mps,humidity_pct,nearby_exposure_pct,filter_efficiency_pct,inspection_recency_days
CG-2001,Central District Crematorium 1,Central District,Wood,48,10.7,79,106,75,33,1.6,40,18,90,184
CG-2002,Riverside Ward Crematorium 2,Riverside Ward,Gas,89,14.8,77,95,72,82,3.5,56,18,78,174
CG-2003,North Hills Crematorium 3,North Hills,Electric-assist,49,12.8,82,85,62,89,5.9,73,39,76,86
CG-2004,Old City Crematorium 1,Old City,Mixed,98,8.9,53,87,92,41,4.3,58,28,95,56
CG-2005,East Junction Crematorium 2,East Junction,Wood,86,6.1,58,29,71,36,6.1,67,57,74,170
CG-2006,Industrial Edge Crematorium 3,Industrial Edge,Gas,69,14.1,71,19,61,73,3.2,35,22,67,69
CG-2007,South Residential Crematorium 1,South Residential,Electric-assist,117,14.9,56,57,60,53,5.4,46,28,90,182
CG-2008,Civic Core Crematorium 2,Civic Core,Mixed,81,7.9,68,36,89,82,1.3,47,32,63,137
CG-2009,Central District Crematorium 3,Central District,Wood,88,5.6,89,85,98,36,3.6,59,42,67,97
CG-2010,Riverside Ward Crematorium 1,Riverside Ward,Gas,91,14.3,73,95,64,54,0.7,58,27,89,159
CG-2011,North Hills Crematorium 2,North Hills,Electric-assist,118,5.2,60,85,62,73,2.6,73,40,74,118
CG-2012,Old City Crematorium 3,Old City,Mixed,92,5.9,62,46,86,68,6.1,71,86,97,183
CG-2013,East Junction Crematorium 1,East Junction,Wood,67,5.4,49,43,64,78,5.6,89,48,62,73
CG-2014,Industrial Edge Crematorium 2,Industrial Edge,Gas,115,8.5,68,85,67,94,5.1,67,86,97,162
CG-2015,South Residential Crematorium 3,South Residential,Electric-assist,81,6.3,76,97,58,75,4.5,52,55,98,63
CG-2016,Civic Core Crematorium 1,Civic Core,Mixed,35,4.8,62,73,63,66,3.5,70,30,91,149
CG-2017,Central District Crematorium 2,Central District,Wood,91,9.4,54,64,62,79,6.0,70,71,65,64
CG-2018,Riverside Ward Crematorium 3,Riverside Ward,Gas,33,13.9,78,30,59,50,2.7,85,68,92,188
CG-2019,North Hills Crematorium 1,North Hills,Electric-assist,31,8.6,62,58,61,68,4.3,84,84,89,135
CG-2020,Old City Crematorium 2,Old City,Mixed,112,8.8,72,14,83,90,2.7,54,22,72,125
CG-2021,East Junction Crematorium 3,East Junction,Wood,31,10.8,79,40,79,63,6.0,60,72,99,156
CG-2022,Industrial Edge Crematorium 1,Industrial Edge,Gas,60,7.6,90,5,66,81,1.9,73,21,81,158
CG-2023,South Residential Crematorium 2,South Residential,Electric-assist,86,12.4,69,103,61,36,5.7,39,68,92,200
CG-2024,Civic Core Crematorium 3,Civic Core,Mixed,74,4.0,81,95,81,68,2.3,92,37,63,61
