site_id,date,fuel_use_kg_day,operating_hours_day,equipment_condition_pct,maintenance_gap_days,stack_condition_pct,weather_dispersion_pct,incident_count,inspection_score_pct
CG-2001,2026-09-18,72,11.2,94,87,92,57,1,97
CG-2001,2026-08-16,95,9.6,93,108,78,80,2,94
CG-2001,2026-07-16,82,13.6,79,99,62,91,2,83
CG-2001,2026-06-26,52,13.3,51,37,96,77,3,95
CG-2001,2026-05-01,96,8.7,70,15,98,72,2,58
CG-2001,2026-04-10,43,14.4,50,66,64,82,0,61
CG-2002,2026-09-04,94,6.9,46,15,84,93,3,93
CG-2002,2026-08-05,96,14.2,51,67,71,90,3,79
CG-2002,2026-07-19,37,7.6,95,21,89,67,2,57
CG-2002,2026-06-16,89,10.3,51,85,80,46,2,68
CG-2002,2026-05-25,102,12.6,50,39,78,73,0,58
CG-2002,2026-04-10,67,13.5,48,94,50,79,1,95
CG-2003,2026-09-01,33,5.8,56,21,66,77,0,79
CG-2003,2026-08-25,78,7.0,77,83,69,53,2,80
CG-2003,2026-07-20,80,14.5,45,12,73,46,3,64
CG-2003,2026-06-24,75,10.1,93,10,70,39,2,71
CG-2003,2026-05-02,34,5.5,48,27,96,35,2,62
CG-2003,2026-04-19,33,6.2,56,8,57,41,0,80
CG-2004,2026-09-11,32,7.8,82,119,69,44,1,68
CG-2004,2026-08-22,91,13.6,74,45,57,62,3,56
CG-2004,2026-07-06,109,11.9,89,82,66,93,2,99
CG-2004,2026-06-18,33,9.7,79,5,90,88,3,56
CG-2004,2026-05-03,62,14.3,73,105,56,49,1,88
CG-2004,2026-04-05,112,8.2,87,24,69,51,0,58
CG-2005,2026-09-16,69,6.8,45,59,70,34,0,75
CG-2005,2026-08-18,95,4.7,75,61,97,74,2,76
CG-2005,2026-07-12,80,5.6,50,40,91,65,3,76
CG-2005,2026-06-12,106,8.5,56,46,69,63,3,59
CG-2005,2026-05-03,83,10.2,58,61,50,34,2,81
CG-2005,2026-04-20,88,6.4,94,112,94,84,2,73
CG-2006,2026-09-19,33,11.7,47,57,90,68,3,68
CG-2006,2026-08-19,77,11.7,95,114,66,55,0,85
CG-2006,2026-07-20,64,12.3,50,97,50,36,1,93
CG-2006,2026-06-23,116,4.1,77,91,48,59,0,88
CG-2006,2026-05-21,101,9.2,89,37,84,90,3,86
CG-2006,2026-04-09,37,4.2,77,87,50,27,0,89
CG-2007,2026-09-07,32,11.1,55,7,51,60,3,89
CG-2007,2026-08-12,31,10.4,54,27,98,87,0,72
CG-2007,2026-07-08,27,10.0,71,59,89,80,2,75
CG-2007,2026-06-16,118,11.2,75,96,99,62,0,62
CG-2007,2026-05-18,106,10.9,82,85,98,54,0,77
CG-2007,2026-04-11,59,8.2,47,66,96,49,1,58
CG-2008,2026-09-21,69,6.9,63,81,86,56,3,84
CG-2008,2026-08-15,99,12.8,60,86,60,62,3,61
CG-2008,2026-07-03,99,11.6,87,55,50,41,1,77
CG-2008,2026-06-06,51,8.8,73,50,55,44,3,70
CG-2008,2026-05-01,28,7.9,84,43,82,40,0,86
CG-2008,2026-04-15,105,9.9,65,48,87,61,3,59
CG-2009,2026-09-15,75,4.4,46,36,51,71,2,69
CG-2009,2026-08-01,84,13.7,90,52,51,33,0,97
CG-2009,2026-07-09,64,13.6,78,13,90,50,0,72
CG-2009,2026-06-20,68,5.7,81,51,93,27,3,79
CG-2009,2026-05-21,83,10.2,54,28,86,48,3,88
CG-2009,2026-04-15,91,9.9,86,7,79,83,0,72
CG-2010,2026-09-23,78,9.2,70,102,70,85,0,79
CG-2010,2026-08-13,78,12.4,91,49,48,72,3,63
CG-2010,2026-07-23,91,14.3,68,94,57,56,0,71
CG-2010,2026-06-01,105,10.5,85,21,90,53,1,59
CG-2010,2026-05-10,52,10.2,87,104,78,62,0,90
CG-2010,2026-04-02,61,7.3,94,20,80,39,0,67
CG-2011,2026-09-04,47,10.2,85,47,92,68,1,63
CG-2011,2026-08-13,56,10.5,90,75,93,51,0,69
CG-2011,2026-07-07,111,13.4,61,61,84,47,2,64
CG-2011,2026-06-24,79,4.5,48,25,78,63,3,63
CG-2011,2026-05-06,30,6.9,76,106,61,63,0,84
CG-2011,2026-04-05,77,9.4,87,118,75,83,1,99
CG-2012,2026-09-11,89,6.3,85,55,74,68,3,70
CG-2012,2026-08-02,50,10.6,55,98,72,78,2,82
CG-2012,2026-07-14,75,7.6,95,110,74,64,2,89
CG-2012,2026-06-19,117,8.5,84,30,68,84,2,55
CG-2012,2026-05-18,51,14.1,75,29,63,36,0,93
CG-2012,2026-04-09,83,7.5,67,95,65,37,1,83
CG-2013,2026-09-15,27,8.2,54,27,95,27,3,74
CG-2013,2026-08-18,58,10.8,54,69,66,43,2,92
CG-2013,2026-07-25,66,12.1,76,62,57,49,3,62
CG-2013,2026-06-08,33,14.9,81,13,91,33,1,65
CG-2013,2026-05-21,40,6.9,75,54,88,74,2,79
CG-2013,2026-04-07,41,12.2,65,120,54,32,0,88
CG-2014,2026-09-15,110,7.0,94,93,58,46,1,56
CG-2014,2026-08-11,91,7.5,53,72,82,60,2,79
CG-2014,2026-07-05,25,14.3,92,42,94,87,0,80
CG-2014,2026-06-12,90,5.3,72,94,77,64,0,57
CG-2014,2026-05-17,101,5.9,51,93,88,92,0,77
CG-2014,2026-04-08,67,4.8,77,76,99,63,3,74
CG-2015,2026-09-23,49,11.3,90,50,62,60,2,95
CG-2015,2026-08-22,73,7.0,61,82,59,56,3,64
CG-2015,2026-07-23,37,5.2,55,112,73,94,2,59
CG-2015,2026-06-14,34,10.9,74,78,72,92,3,96
CG-2015,2026-05-19,81,5.3,73,29,81,65,1,75
CG-2015,2026-04-20,76,9.8,62,90,92,89,0,68
CG-2016,2026-09-20,119,10.2,78,92,88,76,3,69
CG-2016,2026-08-06,36,4.2,94,16,95,82,1,72
CG-2016,2026-07-18,88,6.4,72,79,62,93,0,68
CG-2016,2026-06-14,98,10.4,87,19,94,40,3,99
CG-2016,2026-05-11,41,12.7,98,19,64,64,0,60
CG-2016,2026-04-03,47,9.4,81,75,86,64,3,94
CG-2017,2026-09-10,87,5.1,55,71,96,48,1,55
CG-2017,2026-08-25,94,5.3,51,14,49,26,3,62
CG-2017,2026-07-06,66,14.5,46,72,57,26,3,81
CG-2017,2026-06-14,110,8.9,76,48,70,84,1,61
CG-2017,2026-05-15,101,9.2,71,74,78,58,1,59
CG-2017,2026-04-09,71,7.4,54,28,55,34,1,86
CG-2018,2026-09-20,94,13.4,85,42,95,45,0,77
CG-2018,2026-08-25,98,6.1,54,106,60,93,0,91
CG-2018,2026-07-23,91,4.1,64,48,99,25,2,81
CG-2018,2026-06-20,89,13.2,68,60,98,59,1,70
CG-2018,2026-05-21,54,14.3,45,108,70,58,2,63
CG-2018,2026-04-17,57,10.4,80,31,91,66,3,99
CG-2019,2026-09-03,76,9.9,51,116,98,84,1,57
CG-2019,2026-08-12,47,5.9,95,30,94,91,0,93
CG-2019,2026-07-03,90,10.6,76,94,52,35,1,79
CG-2019,2026-06-19,83,14.3,74,35,76,50,0,92
CG-2019,2026-05-22,81,11.2,66,23,69,32,0,76
CG-2019,2026-04-20,47,4.1,99,80,72,85,3,61
CG-2020,2026-09-04,100,4.9,55,12,91,27,3,59
CG-2020,2026-08-20,52,5.2,47,54,91,77,1,74
CG-2020,2026-07-09,72,7.4,59,56,98,37,1,75
CG-2020,2026-06-24,95,12.6,83,75,82,86,1,62
CG-2020,2026-05-16,116,14.4,58,59,87,80,1,95
CG-2020,2026-04-25,31,11.6,52,31,98,76,2,73
CG-2021,2026-09-10,83,10.9,70,44,63,95,2,75
CG-2021,2026-08-09,50,6.9,47,53,87,85,3,81
CG-2021,2026-07-05,26,8.9,49,17,57,80,3,82
CG-2021,2026-06-05,91,5.2,98,78,62,83,2,69
CG-2021,2026-05-03,53,6.6,57,62,62,64,1,84
CG-2021,2026-04-17,35,14.0,47,78,49,34,3,95
CG-2022,2026-09-18,67,9.6,79,84,98,93,2,59
CG-2022,2026-08-08,113,4.1,93,67,52,43,0,93
CG-2022,2026-07-25,113,8.6,63,74,69,80,0,86
CG-2022,2026-06-19,25,9.1,98,45,83,33,1,72
CG-2022,2026-05-09,85,5.7,82,111,78,48,0,70
CG-2022,2026-04-04,61,5.4,63,68,58,25,0,60
CG-2023,2026-09-01,47,5.9,92,62,86,85,0,78
CG-2023,2026-08-22,101,5.9,88,77,88,52,3,76
CG-2023,2026-07-24,38,5.2,99,120,48,29,0,78
CG-2023,2026-06-02,107,8.9,57,68,50,93,2,61
CG-2023,2026-05-22,73,14.4,77,72,65,65,3,79
CG-2023,2026-04-02,100,7.8,91,30,90,47,3,75
CG-2024,2026-09-11,112,6.5,72,81,72,94,0,91
CG-2024,2026-08-16,44,5.8,99,16,66,74,1,77
CG-2024,2026-07-15,47,8.4,74,73,58,51,2,92
CG-2024,2026-06-18,63,7.2,85,20,67,53,0,58
CG-2024,2026-05-21,30,8.0,74,34,61,74,2,84
CG-2024,2026-04-24,45,4.7,50,52,76,72,3,67
